Case_ID,Activity,Resource,Complete_Timestamp,case_IDofConceptCase,case_Includes_subCases,case_Responsible_actor,case_SUMleges,case_caseProcedure,case_caseStatus,case_case_type,case_landRegisterID,case_last_phase,case_parts,case_requestComplete,case_termName,action_code,activityNameEN,activityNameNL,concept_name,dateFinished,dateStop,dueDate,lifecycle_transition,monitoringResource,planned,question,Weekday,Anomaly
1,84,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,84,17,147,84,913,1,1767,1,3,17011,269,2,1
1,85,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,85,138,114,85,913,1,1767,1,3,17012,269,2,1
1,86,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,86,114,258,86,913,1,1767,1,3,17012,271,2,1
1,93,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,93,16,53,93,913,1,1767,1,3,17013,271,2,1
1,109,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,109,18,244,109,913,1,1767,1,3,17016,271,2,1
1,110,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,110,54,20,110,913,1,1767,1,3,17017,269,2,1
1,111,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,111,218,163,111,913,1,1767,1,3,17018,269,2,1
1,112,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,112,60,66,112,913,1,1767,1,3,17019,271,2,1
1,115,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,115,112,142,115,913,1,1767,1,3,17020,269,2,1
1,118,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,118,241,62,118,913,1,1767,1,3,17021,271,2,1
1,124,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,124,148,116,124,913,1,1767,1,3,17022,269,2,1
1,237,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,237,193,25,237,913,1,1767,1,3,17005,277,2,1
1,274,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,274,14,36,274,913,1,1767,1,3,17010,271,2,1
1,311,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,311,244,15,311,913,1,1767,1,3,17014,271,2,1
1,353,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,353,27,83,353,913,1,1767,1,3,17015,271,2,1
1,116,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,116,179,222,116,999,1,1767,1,3,17023,269,3,1
1,117,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,117,210,156,117,999,1,1767,1,18,17284,269,3,1
1,125,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,125,151,119,125,999,1,1767,1,18,17285,269,3,1
1,126,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,126,185,215,126,999,1,1767,1,18,17285,263,3,1
1,128,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,128,50,39,128,999,1,1767,1,18,17286,277,3,1
1,129,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,129,251,31,129,999,1,1767,1,18,17287,269,3,1
1,132,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,132,88,169,132,999,1,1767,1,18,17290,269,3,1
1,133,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,133,87,167,133,999,1,1767,1,18,17290,269,3,1
1,134,15,12924,1,3,10,63,3,2,1,71,6,27,2,2,134,149,117,134,999,1,1767,1,18,17291,269,3,1
1,130,15,12925,1,3,10,63,3,2,1,71,6,27,2,2,130,88,169,130,999,1,1767,1,18,17288,269,4,1
1,131,15,12925,1,3,10,63,3,2,1,71,6,27,2,2,131,224,159,131,999,1,1767,1,18,17289,269,4,1
2,23,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,23,187,209,23,734,1,1575,1,14,16529,269,4,1
2,24,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,24,4,6,24,734,1,1767,1,3,16530,271,4,1
2,25,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,25,140,109,25,734,1,1767,1,3,16530,269,4,1
2,26,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,26,201,249,26,734,1,1767,1,3,16530,277,4,1
2,27,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,27,201,249,27,734,1,1767,1,3,16531,269,4,1
2,33,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,33,222,8,33,734,1,1767,1,3,16534,269,4,1
2,34,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,34,43,201,34,734,1,1767,1,3,16535,271,4,1
2,41,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,41,44,206,41,734,1,1767,1,3,16537,271,4,1
2,42,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,42,189,210,42,734,1,1767,1,3,16536,269,4,1
2,45,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,45,45,99,45,734,1,1767,1,3,16536,271,4,1
2,162,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,162,108,104,162,734,1,1577,1,3,16532,271,4,1
2,174,11,12845,2,3,10,69,3,2,1,71,6,5,1,2,174,192,232,174,734,1,1767,1,3,16533,277,4,1
2,28,11,12850,2,3,10,69,3,2,1,71,6,5,1,2,28,84,175,28,734,1,1767,1,3,16532,269,4,1
2,53,5,12910,2,3,10,69,3,2,1,71,6,5,1,2,53,169,200,53,953,1,1767,1,3,16538,271,2,1
2,237,5,12910,2,3,10,69,3,2,1,71,6,5,1,2,237,193,25,237,953,1,1767,1,3,17206,271,2,1
2,238,5,12910,2,3,10,69,3,2,1,71,6,5,1,2,238,247,239,238,953,1,1767,1,3,17207,263,2,1
2,239,5,12910,2,3,10,69,3,2,1,71,6,5,1,2,239,39,78,239,953,1,1767,1,3,17208,277,2,1
2,240,5,12910,2,3,10,69,3,2,1,71,6,5,1,2,240,200,199,240,953,1,1767,1,3,17209,269,2,1
2,242,5,12910,2,3,10,69,3,2,1,71,6,5,1,2,242,143,111,242,953,1,1767,1,3,17237,269,2,1
2,241,5,12914,2,3,10,69,3,2,1,71,6,5,1,2,241,99,179,241,953,1,1767,1,3,17236,269,2,1
2,243,5,12927,2,3,10,69,3,2,1,71,6,5,1,2,243,177,27,243,1007,1,1767,1,3,17237,277,5,1
2,244,5,12934,2,3,10,69,3,2,1,71,6,5,1,2,244,83,230,244,1046,1,1767,1,3,17325,109,5,1
2,245,5,12934,2,3,10,69,3,2,1,71,6,5,1,2,245,137,112,245,1046,1,1767,1,3,17388,269,5,1
2,60,11,12936,2,3,10,69,3,2,1,71,6,5,1,2,60,2,4,60,1062,1,1767,1,3,17389,271,1,1
2,247,11,12936,2,3,10,69,3,2,1,71,6,5,1,2,247,202,69,247,1062,1,1767,1,3,17388,271,1,1
2,61,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,61,141,110,61,1116,1,1767,1,3,17519,269,2,1
2,64,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,64,170,203,64,1116,1,1767,1,3,17520,271,2,1
2,65,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,65,206,75,65,1116,1,1767,1,3,17521,271,2,1
2,72,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,72,259,50,72,1116,1,1767,1,3,17522,269,2,1
2,73,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,73,22,97,73,1116,1,1767,1,3,17523,269,2,1
2,78,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,78,169,200,78,1116,1,1767,1,3,17524,271,2,1
2,84,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,84,17,147,84,1116,1,1767,1,3,17526,269,2,1
2,85,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,85,138,114,85,1116,1,1767,1,3,17527,269,2,1
2,86,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,86,114,258,86,1116,1,1767,1,3,17527,271,2,1
2,93,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,93,16,53,93,1116,1,1767,1,3,17528,271,2,1
2,109,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,109,18,244,109,1116,1,1767,1,3,17531,271,2,1
2,110,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,110,54,20,110,1116,1,1767,1,3,17532,269,2,1
2,111,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,111,218,163,111,1116,1,1767,1,3,17532,269,2,1
2,112,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,112,60,66,112,1116,1,1767,1,3,17533,271,2,1
2,115,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,115,112,142,115,1116,1,1767,1,3,17534,269,2,1
2,118,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,118,241,62,118,1116,1,1767,1,3,17535,271,2,1
2,124,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,124,148,116,124,1116,1,1767,1,3,17536,269,2,1
2,125,15,12943,2,3,10,69,3,2,1,71,6,5,1,2,125,151,119,125,1116,1,1767,1,16,17539,269,2,1
2,126,15,12943,2,3,10,69,3,2,1,71,6,5,1,2,126,185,215,126,1116,1,1767,1,16,17539,263,2,1
2,128,15,12943,2,3,10,69,3,2,1,71,6,5,1,2,128,50,39,128,1116,1,1767,1,16,17540,277,2,1
2,129,15,12943,2,3,10,69,3,2,1,71,6,5,1,2,129,251,31,129,1116,1,1767,1,16,17541,269,2,1
2,132,15,12943,2,3,10,69,3,2,1,71,6,5,1,2,132,88,169,132,1116,1,1767,1,16,17544,269,2,1
2,133,15,12943,2,3,10,69,3,2,1,71,6,5,1,2,133,87,167,133,1116,1,1767,1,16,17544,269,2,1
2,134,15,12943,2,3,10,69,3,2,1,71,6,5,1,2,134,149,117,134,1116,1,1767,1,16,17545,269,2,1
2,237,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,237,193,25,237,1116,1,1767,1,3,17390,277,2,1
2,274,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,274,14,36,274,1116,1,1767,1,3,17525,271,2,1
2,311,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,311,244,15,311,1116,1,1767,1,3,17529,271,2,1
2,353,5,12943,2,3,10,69,3,2,1,71,6,5,1,2,353,27,83,353,1116,1,1767,1,3,17530,271,2,1
2,116,15,12947,2,3,10,69,3,2,1,71,6,5,1,2,116,179,222,116,1116,1,1767,1,3,17537,269,4,1
2,117,15,12947,2,3,10,69,3,2,1,71,6,5,1,2,117,210,156,117,1116,1,1767,1,16,17538,269,4,1
2,130,15,12947,2,3,10,69,3,2,1,71,6,5,1,2,130,88,169,130,1116,1,1767,1,16,17542,269,4,1
2,131,15,12947,2,3,10,69,3,2,1,71,6,5,1,2,131,224,159,131,1116,1,1767,1,16,17543,269,4,1
3,23,20,12841,3,3,16,218,3,2,1,71,6,5,1,2,23,187,209,23,734,1,1576,1,23,16539,269,1,1
3,24,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,24,4,6,24,734,1,1767,1,3,16540,271,4,1
3,25,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,25,140,109,25,734,1,1767,1,3,16541,269,4,1
3,26,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,26,201,249,26,734,1,1767,1,3,16541,277,4,1
3,27,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,27,201,249,27,734,1,1767,1,3,16542,269,4,1
3,33,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,33,222,8,33,734,1,1767,1,3,16545,269,4,1
3,34,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,34,43,201,34,734,1,1767,1,3,16545,271,4,1
3,41,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,41,44,206,41,734,1,1767,1,3,16548,271,4,1
3,42,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,42,189,210,42,734,1,1767,1,3,16546,269,4,1
3,45,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,45,45,99,45,734,1,1767,1,3,16546,271,4,1
3,162,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,162,108,104,162,734,1,1578,1,3,16543,271,4,1
3,174,20,12845,3,3,16,218,3,2,1,71,6,5,1,2,174,192,232,174,734,1,1767,1,3,16544,277,4,1
3,28,20,12851,3,3,16,218,3,2,1,71,6,5,1,2,28,84,175,28,734,1,1767,1,3,16543,269,4,1
3,53,5,12906,3,3,16,218,3,2,1,71,6,5,1,2,53,169,200,53,949,1,1767,1,3,16547,271,1,1
3,237,5,12906,3,3,16,218,3,2,1,71,6,5,1,2,237,193,25,237,949,1,1767,1,3,17188,271,1,1
3,238,5,12906,3,3,16,218,3,2,1,71,6,5,1,2,238,247,239,238,949,1,1767,1,3,17189,263,1,1
3,239,5,12906,3,3,16,218,3,2,1,71,6,5,1,2,239,39,78,239,949,1,1767,1,3,17190,277,1,1
3,240,5,12906,3,3,16,218,3,2,1,71,6,5,1,2,240,200,199,240,949,1,1767,1,3,17191,269,1,1
3,242,5,12906,3,3,16,218,3,2,1,71,6,5,1,2,242,143,111,242,949,1,1767,1,3,17193,269,1,1
3,241,5,12908,3,3,16,218,3,2,1,71,6,5,1,2,241,99,179,241,949,1,1767,1,3,17192,269,1,1
3,243,5,12942,3,3,16,218,3,2,1,71,6,5,1,2,243,177,27,243,1114,1,1767,1,3,17194,277,1,1
3,244,5,12942,3,3,16,218,3,2,1,71,6,5,1,2,244,83,230,244,1114,1,1767,1,3,17500,198,1,1
3,245,5,12942,3,3,16,218,3,2,1,71,6,5,1,2,245,137,112,245,1114,1,1767,1,3,17501,269,1,1
3,60,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,60,2,4,60,1116,1,1767,1,3,17554,271,2,1
3,61,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,61,141,110,61,1116,1,1767,1,3,17556,269,2,1
3,64,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,64,170,203,64,1116,1,1767,1,3,17556,271,2,1
3,65,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,65,206,75,65,1116,1,1767,1,3,17557,271,2,1
3,72,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,72,259,50,72,1116,1,1767,1,3,17558,269,2,1
3,73,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,73,22,97,73,1116,1,1767,1,3,17559,269,2,1
3,78,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,78,169,200,78,1116,1,1767,1,3,17559,271,2,1
3,84,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,84,17,147,84,1116,1,1767,1,3,17561,269,2,1
3,85,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,85,138,114,85,1116,1,1767,1,3,17562,269,2,1
3,86,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,86,114,258,86,1116,1,1767,1,3,17562,271,2,1
3,93,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,93,16,53,93,1116,1,1767,1,3,17563,271,2,1
3,109,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,109,18,244,109,1116,1,1767,1,3,17566,271,2,1
3,110,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,110,54,20,110,1116,1,1767,1,3,17567,269,2,1
3,111,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,111,218,163,111,1116,1,1767,1,3,17568,269,2,1
3,112,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,112,60,66,112,1116,1,1767,1,3,17569,271,2,1
3,115,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,115,112,142,115,1116,1,1767,1,3,17570,269,2,1
3,237,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,237,193,25,237,1116,1,1767,1,3,17555,277,2,1
3,247,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,247,202,69,247,1116,1,1767,1,3,17502,271,2,1
3,274,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,274,14,36,274,1116,1,1767,1,3,17560,271,2,1
3,311,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,311,244,15,311,1116,1,1767,1,3,17564,271,2,1
3,353,5,12943,3,3,16,218,3,2,1,71,6,5,1,2,353,27,83,353,1116,1,1767,1,3,17565,271,2,1
3,118,5,12950,3,3,16,218,3,2,1,71,6,5,1,2,118,241,62,118,1149,1,1767,1,3,17571,271,1,1
3,124,5,12950,3,3,16,218,3,2,1,71,6,5,1,2,124,148,116,124,1149,1,1767,1,3,17632,269,1,1
3,125,15,12951,3,3,16,218,3,2,1,71,6,5,1,2,125,151,119,125,1152,1,1767,1,18,17655,269,2,1
3,126,15,12951,3,3,16,218,3,2,1,71,6,5,1,2,126,185,215,126,1152,1,1767,1,18,17655,263,2,1
3,128,15,12951,3,3,16,218,3,2,1,71,6,5,1,2,128,50,39,128,1152,1,1767,1,18,17656,277,2,1
3,129,15,12951,3,3,16,218,3,2,1,71,6,5,1,2,129,251,31,129,1152,1,1767,1,18,17657,269,2,1
3,132,15,12951,3,3,16,218,3,2,1,71,6,5,1,2,132,88,169,132,1152,1,1767,1,18,17660,269,2,1
3,133,15,12951,3,3,16,218,3,2,1,71,6,5,1,2,133,87,167,133,1152,1,1767,1,18,17661,269,2,1
3,134,15,12951,3,3,16,218,3,2,1,71,6,5,1,2,134,149,117,134,1152,1,1767,1,18,17661,269,2,1
3,116,15,12953,3,3,16,218,3,2,1,71,6,5,1,2,116,179,222,116,1152,1,1767,1,3,17633,269,4,1
3,117,15,12953,3,3,16,218,3,2,1,71,6,5,1,2,117,210,156,117,1152,1,1767,1,18,17654,269,4,1
3,130,15,12953,3,3,16,218,3,2,1,71,6,5,1,2,130,88,169,130,1152,1,1767,1,18,17658,269,4,1
3,131,15,12953,3,3,16,218,3,2,1,71,6,5,1,2,131,224,159,131,1152,1,1767,1,18,17659,269,4,1
4,23,11,12859,4,3,16,180,3,2,1,71,6,6,1,2,23,187,209,23,817,1,1579,1,14,16591,269,5,1
4,24,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,24,4,6,24,817,1,1767,1,3,16592,271,2,1
4,25,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,25,140,109,25,817,1,1767,1,3,16592,269,2,1
4,26,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,26,201,249,26,817,1,1767,1,3,16592,277,2,1
4,27,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,27,201,249,27,817,1,1767,1,3,16593,269,2,1
4,33,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,33,222,8,33,817,1,1767,1,3,16597,269,2,1
4,34,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,34,43,201,34,817,1,1767,1,3,16597,271,2,1
4,41,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,41,44,206,41,817,1,1767,1,3,16599,271,2,1
4,42,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,42,189,210,42,817,1,1767,1,3,16598,269,2,1
4,45,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,45,45,99,45,817,1,1767,1,3,16598,271,2,1
4,162,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,162,108,104,162,817,1,1580,1,3,16595,271,2,1
4,174,11,12861,4,3,16,180,3,2,1,71,6,6,1,2,174,192,232,174,817,1,1767,1,3,16596,277,2,1
4,28,11,12862,4,3,16,180,3,2,1,71,6,6,1,2,28,84,175,28,817,1,1767,1,3,16594,269,2,1
4,53,5,12906,4,3,16,180,3,2,1,71,6,6,1,2,53,169,200,53,949,1,1767,1,3,16600,271,1,1
4,237,5,12906,4,3,16,180,3,2,1,71,6,6,1,2,237,193,25,237,949,1,1767,1,3,17195,271,1,1
4,238,5,12906,4,3,16,180,3,2,1,71,6,6,1,2,238,247,239,238,949,1,1767,1,3,17196,263,1,1
4,239,5,12906,4,3,16,180,3,2,1,71,6,6,1,2,239,39,78,239,949,1,1767,1,3,17197,277,1,1
4,240,5,12906,4,3,16,180,3,2,1,71,6,6,1,2,240,200,199,240,949,1,1767,1,3,17198,269,1,1
4,242,5,12906,4,3,16,180,3,2,1,71,6,6,1,2,242,143,111,242,949,1,1767,1,3,17200,269,1,1
4,244,11,12906,4,3,16,180,3,2,1,71,6,6,1,2,244,83,230,244,987,1,1767,1,3,17253,218,1,1
4,241,5,12909,4,3,16,180,3,2,1,71,6,6,1,2,241,99,179,241,949,1,1767,1,3,17199,269,1,1
4,60,11,12917,4,3,16,180,3,2,1,71,6,6,1,2,60,2,4,60,987,1,1767,1,3,17255,271,1,1
4,243,11,12917,4,3,16,180,3,2,1,71,6,6,1,2,243,177,27,243,987,1,1767,1,3,17201,277,1,1
4,245,11,12917,4,3,16,180,3,2,1,71,6,6,1,2,245,137,112,245,987,1,1767,1,3,17254,269,1,1
4,247,11,12917,4,3,16,180,3,2,1,71,6,6,1,2,247,202,69,247,987,1,1767,1,3,17254,271,1,1
4,61,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,61,141,110,61,1065,1,1767,1,3,17434,269,2,1
4,64,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,64,170,203,64,1065,1,1767,1,3,17434,271,2,1
4,65,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,65,206,75,65,1065,1,1767,1,3,17435,271,2,1
4,72,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,72,259,50,72,1065,1,1767,1,3,17436,269,2,1
4,73,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,73,22,97,73,1065,1,1767,1,3,17437,269,2,1
4,78,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,78,169,200,78,1065,1,1767,1,3,17438,271,2,1
4,84,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,84,17,147,84,1065,1,1767,1,3,17440,269,2,1
4,85,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,85,138,114,85,1065,1,1767,1,3,17441,269,2,1
4,86,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,86,114,258,86,1065,1,1767,1,3,17442,271,2,1
4,93,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,93,16,53,93,1065,1,1767,1,3,17443,271,2,1
4,109,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,109,18,244,109,1065,1,1767,1,3,17446,271,2,1
4,110,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,110,54,20,110,1065,1,1767,1,3,17447,269,2,1
4,111,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,111,218,163,111,1065,1,1767,1,3,17447,269,2,1
4,112,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,112,60,66,112,1065,1,1767,1,3,17448,277,2,1
4,114,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,114,210,156,114,1065,1,1767,1,3,17450,269,2,1
4,115,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,115,112,142,115,1065,1,1767,1,3,17451,269,2,1
4,125,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,125,151,119,125,1065,1,1767,1,3,17452,269,2,1
4,126,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,126,185,215,126,1065,1,1767,1,3,17452,263,2,1
4,128,13,12937,4,3,16,180,3,2,1,71,6,6,1,2,128,50,39,128,1065,1,1767,1,3,17453,277,2,1
4,129,13,12937,4,3,16,180,3,2,1,71,6,6,1,2,129,251,31,129,1065,1,1767,1,16,17457,269,2,1
4,131,13,12937,4,3,16,180,3,2,1,71,6,6,1,2,131,224,159,131,1065,1,1767,1,16,17459,269,2,1
4,132,13,12937,4,3,16,180,3,2,1,71,6,6,1,2,132,88,169,132,1065,1,1767,1,16,17460,269,2,1
4,133,13,12937,4,3,16,180,3,2,1,71,6,6,1,2,133,87,167,133,1065,1,1767,1,16,17460,269,2,1
4,134,13,12937,4,3,16,180,3,2,1,71,6,6,1,2,134,149,117,134,1065,1,1767,1,16,17460,269,2,1
4,142,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,142,42,82,142,1065,1,1767,1,3,17452,269,2,1
4,237,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,237,193,25,237,1065,1,1767,1,3,17256,277,2,1
4,274,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,274,14,36,274,1065,1,1767,1,3,17439,271,2,1
4,311,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,311,244,15,311,1065,1,1767,1,3,17444,271,2,1
4,353,5,12937,4,3,16,180,3,2,1,71,6,6,1,2,353,27,83,353,1065,1,1767,1,3,17445,271,2,1
4,113,5,12938,4,3,16,180,3,2,1,71,6,6,1,2,113,182,221,113,1065,1,1767,1,3,17449,269,2,1
4,130,13,12939,4,3,16,180,3,2,1,71,6,6,1,2,130,88,169,130,1065,1,1767,1,16,17458,269,2,1
5,23,11,12865,5,3,10,96,3,2,1,58,8,5,2,2,23,187,209,23,822,1,1581,1,14,16681,269,3,1
5,24,11,12868,5,3,10,96,3,2,1,58,8,5,2,2,24,4,6,24,822,1,1767,1,3,16682,271,4,1
5,25,11,12868,5,3,10,96,3,2,1,58,8,5,2,2,25,140,109,25,822,1,1767,1,3,16682,269,4,1
5,26,11,12868,5,3,10,96,3,2,1,58,8,5,2,2,26,201,249,26,822,1,1767,1,3,16682,277,4,1
5,27,11,12868,5,3,10,96,3,2,1,58,8,5,2,2,27,201,249,27,822,1,1767,1,3,16683,269,4,1
5,33,11,12868,5,3,10,96,3,2,1,58,8,5,2,2,33,222,8,33,822,1,1767,1,3,16686,269,4,1
