Case ID,Activity,Resource,Complete Timestamp,(case) caseStatus,(case) case_type,(case) last_phase,(case) requestComplete,activityNameEN,activityNameNL,concept:name,dateFinished,lifecycle:transition,monitoringResource,question
1036,303,8,3740,1,0,6,0,233,166,303,3184,0,9,409
359,32,15,5724,0,0,16,0,125,0,32,3260,0,4,411
87,34,4,553,0,0,16,1,205,254,34,166,0,4,417
830,345,15,21704,1,0,6,0,86,250,345,2849,0,15,409
947,47,4,9471,1,0,6,1,47,109,47,400,0,13,411
346,34,15,4960,1,0,23,1,205,254,34,3434,0,4,417
883,117,13,4282,1,0,6,0,235,180,117,3318,0,13,409
700,372,15,5262,0,0,6,1,27,90,372,3473,0,15,411
959,251,13,10795,1,0,6,0,213,218,251,896,0,13,409
1158,96,4,1036,1,0,6,1,16,59,96,243,0,4,411
1029,372,13,18375,1,0,8,1,27,90,372,1970,0,13,411
485,37,9,8506,1,0,7,1,221,221,37,563,0,13,409
1006,117,13,18294,1,0,6,0,235,180,117,1958,0,13,409
856,75,4,21440,0,0,24,1,281,55,75,2523,0,19,409
1041,273,6,5790,0,0,12,0,34,42,273,3267,0,13,411
304,81,15,23511,0,0,23,1,180,219,81,2891,0,15,411
927,63,13,9517,0,0,8,0,152,121,63,407,0,13,409
235,254,15,23673,0,0,23,1,189,28,254,2906,0,15,417
454,19,1,4844,0,0,8,1,236,138,19,3416,0,11,409
643,141,6,3015,1,0,6,1,95,186,141,2931,0,2,409
1117,253,8,5148,1,0,6,0,154,122,253,3454,0,13,409
123,147,6,11722,1,0,23,1,119,158,147,1041,0,4,409
1042,89,13,19307,1,0,6,1,123,282,89,2153,0,13,411
636,81,15,3557,1,0,6,0,180,219,81,3180,0,15,411
505,68,15,11806,0,0,23,1,219,82,68,1059,0,15,411
560,66,4,9373,0,0,24,0,181,222,66,677,0,11,411
194,138,6,15758,0,0,23,1,272,32,138,1551,0,7,409
1002,372,10,20362,0,0,24,0,27,90,372,2083,0,11,411
525,289,13,17154,1,0,7,1,206,26,289,1496,0,13,417
563,76,15,16776,0,0,7,1,22,107,76,1705,0,15,409
370,285,13,6464,0,0,23,1,14,38,285,3691,0,13,411
979,30,4,10324,1,0,6,1,91,193,30,837,0,13,409
295,89,13,22430,1,0,23,1,123,282,89,2716,0,13,411
432,325,15,1242,0,0,23,1,264,14,325,272,0,15,411
1020,116,13,18225,1,0,6,1,58,20,116,1955,0,13,409
212,114,13,19639,0,0,23,1,264,14,114,2199,0,15,411
795,131,4,1118,0,0,24,0,162,131,131,257,0,11,409
1110,81,21,8711,1,0,14,1,180,219,81,597,0,13,411
405,124,13,7329,1,0,23,1,195,242,124,3815,0,13,409
930,140,4,245,1,0,17,1,241,174,140,20,0,19,409
162,25,9,10729,0,0,23,1,200,229,25,1036,0,10,409
192,324,4,17936,0,0,7,1,4,6,324,1911,0,1,417
615,25,4,20406,1,0,6,1,200,229,25,2103,0,4,409
1136,171,4,5014,1,0,6,1,116,115,171,3438,0,13,411
317,27,9,22222,0,0,23,1,151,120,27,2579,0,20,409
242,87,15,22724,1,0,23,1,17,161,87,2766,0,15,409
1139,36,4,6090,1,0,6,1,45,220,36,3534,0,13,411
552,58,15,19061,0,0,6,0,212,111,58,2112,0,15,409
1063,137,8,23303,1,0,6,1,52,41,137,2850,0,13,417
60,50,5,9854,0,0,23,1,258,110,50,462,0,10,409
455,285,13,13466,0,0,23,1,14,38,285,1311,0,13,411
769,76,13,15098,1,0,6,1,22,107,76,1179,0,13,409
1064,40,4,20056,1,0,12,0,183,227,40,2262,0,13,417
834,248,13,6643,1,0,6,0,206,26,248,3725,0,13,417
766,25,4,10240,0,0,6,1,200,229,25,847,0,4,409
1139,63,21,7344,1,0,6,1,152,121,63,3820,0,13,409
988,116,13,13356,1,0,8,1,58,20,116,1288,0,13,409
84,29,9,227,0,0,23,1,214,272,29,2168,0,10,409
1092,121,8,3577,1,0,8,1,120,154,121,3184,0,13,409
999,87,13,16302,1,0,6,1,17,161,87,1616,0,13,409
789,249,15,16346,1,0,6,0,268,261,249,1630,0,15,400
285,88,13,21376,1,0,23,1,149,126,88,2512,0,2,409
1100,124,6,4625,0,0,24,0,261,68,124,3380,0,9,411
791,125,13,16722,0,0,6,1,156,135,125,1696,0,13,409
394,147,6,7093,0,0,23,1,119,158,147,3790,0,7,409
1050,185,13,19758,0,0,12,0,205,254,185,2218,0,13,417
296,25,15,19678,0,0,23,0,200,229,25,2545,0,15,409
1045,81,2,22906,1,0,6,0,180,219,81,2793,0,13,411
569,29,4,16577,0,0,6,1,214,272,29,632,0,15,409
900,185,4,3366,0,0,24,0,205,254,185,3151,0,1,417
587,89,1,11214,0,0,24,0,123,282,89,956,0,1,411
1040,255,4,22144,1,0,6,0,90,252,255,2363,0,13,88
1047,88,4,19675,0,0,24,1,149,126,88,2203,0,19,409
530,115,15,13499,0,0,23,1,18,267,115,1314,0,15,411
1142,116,21,1773,1,0,6,0,58,20,116,343,0,13,409
951,8,8,4283,1,0,8,0,9,61,8,3319,0,9,411
232,111,6,22489,1,0,23,1,82,247,111,2725,0,8,409
196,68,15,16074,0,0,23,1,206,26,68,2096,0,15,417
844,96,15,23101,0,0,6,1,16,59,96,2584,0,15,411
634,269,15,23350,0,0,25,0,79,241,269,2916,0,15,409
300,63,15,23937,0,0,23,0,152,121,63,2630,0,20,409
729,130,13,16923,1,0,6,0,159,128,130,1492,0,13,409
1171,43,4,308,1,0,6,1,46,225,43,129,0,13,411
229,116,11,21058,1,0,5,1,58,20,116,2459,0,12,409
1026,141,4,17750,0,0,24,1,95,186,141,1876,0,18,409
364,31,4,3283,0,0,16,1,116,115,31,3145,0,4,411
437,27,4,2276,0,0,23,1,151,120,27,584,0,1,409
896,81,13,20198,1,0,6,0,180,219,81,2043,0,13,411
56,302,1,13340,0,0,8,1,110,195,302,1247,0,1,409
521,68,13,17563,0,0,7,0,219,82,68,1853,0,13,411
1154,44,4,7013,1,0,6,0,202,230,44,3777,0,13,409
1111,63,21,5790,1,0,6,1,152,121,63,3267,0,13,409
396,32,15,2092,0,0,7,1,125,0,32,40,0,4,417
522,66,15,17374,1,0,7,0,181,222,66,1820,0,15,411
45,88,6,1144,1,0,23,1,149,126,88,260,0,2,409
947,96,13,9187,1,0,6,1,16,59,96,652,0,13,411
245,77,13,20047,0,0,16,1,22,107,77,2261,0,13,409
937,131,8,8219,1,0,8,1,162,131,131,514,0,9,409
1055,116,13,23414,1,0,6,0,58,20,116,2869,0,13,409
583,28,8,17408,0,0,24,1,214,272,28,3749,0,11,417
1090,43,8,22331,1,0,6,0,46,225,43,2702,0,13,411
782,89,13,17219,1,0,6,1,123,282,89,1508,0,13,411
975,255,13,16989,1,0,6,0,90,252,255,1743,0,13,383
845,23,8,19687,1,0,8,1,238,167,23,2206,0,9,409
390,38,4,4802,0,0,23,1,104,198,38,3404,0,4,409
636,58,15,3548,1,0,6,0,212,111,58,3180,0,15,409
831,126,13,20088,1,0,6,1,49,104,126,2266,0,13,411
802,36,4,14535,0,0,6,1,45,220,36,1440,0,15,411
850,28,4,19450,1,0,6,1,214,272,28,2177,0,15,417
722,66,13,9637,1,0,6,1,181,222,66,424,0,13,411
811,135,6,19049,0,0,6,1,198,235,135,2019,0,7,400
439,38,4,415,0,0,16,1,104,198,38,142,0,13,409
368,116,13,4397,0,0,23,1,58,20,116,3341,0,20,409
42,77,5,8456,0,0,23,1,22,107,77,3377,0,4,409
709,26,4,5477,1,0,6,0,3,5,26,3494,0,13,411
1128,372,21,760,1,0,6,1,27,90,372,193,0,13,411
960,24,4,4283,1,0,8,1,158,132,24,3319,0,9,409
290,55,13,3245,0,0,23,1,180,219,55,3140,0,13,417
1159,185,4,7344,1,0,6,1,205,254,185,3820,0,4,417
564,29,8,16325,0,0,6,1,214,272,29,1629,0,15,409
834,124,13,6643,1,0,6,0,261,68,124,3725,0,13,411
841,55,15,20140,1,0,6,0,180,219,55,2269,0,15,411
173,30,4,15251,0,0,23,1,91,193,30,1190,0,4,409
315,25,9,21326,0,0,5,1,200,229,25,3080,0,13,409
362,136,6,6615,0,0,23,0,26,205,136,3713,0,7,409
594,26,4,17554,0,0,24,1,3,5,26,1184,0,11,411
602,26,9,18507,0,0,6,1,3,5,26,2001,0,13,411
663,66,15,3211,1,0,6,0,181,222,66,3130,0,15,411
459,147,4,8548,0,0,23,1,119,158,147,568,0,4,409
480,68,15,12226,1,0,7,1,219,82,68,1082,0,15,411
1092,55,13,23414,1,0,8,1,180,219,55,2869,0,13,411
1169,68,21,9474,1,0,6,1,219,82,68,401,0,13,411
129,116,5,10702,0,0,23,1,58,20,116,883,0,2,409
255,295,1,3902,0,0,23,1,182,94,295,569,0,1,409
68,88,5,7911,0,0,23,1,149,126,88,367,0,2,409
833,25,4,17835,0,0,24,1,200,229,25,1911,0,4,409
560,255,4,9368,0,0,24,0,90,252,255,677,0,11,364
490,171,4,8840,1,0,23,1,116,115,171,606,0,13,411
866,285,15,22296,1,0,6,1,14,38,285,2688,0,15,411
1024,229,13,21014,0,0,18,0,105,274,229,2456,0,13,409
371,32,15,721,0,0,1,0,125,0,32,184,0,4,411
985,76,13,16376,1,0,6,0,22,107,76,1637,0,13,409
415,25,8,6791,0,0,23,1,200,229,25,3745,0,9,409
549,55,13,18973,0,0,7,1,180,219,55,1809,0,13,411
344,50,13,4418,1,0,23,1,258,110,50,3343,0,13,409
405,50,13,7295,1,0,23,1,258,110,50,3815,0,13,409
907,142,8,6175,1,0,24,1,94,184,142,3641,0,9,409
939,285,4,23014,1,0,7,0,14,38,285,2804,0,21,411
769,143,6,15306,1,0,6,1,160,129,143,1207,0,7,409
719,126,10,8282,1,0,11,0,49,104,126,525,0,11,411
783,331,15,15854,1,0,6,1,81,239,331,1567,0,15,181
638,200,4,23998,0,0,16,1,173,145,200,2649,0,19,409
40,216,15,11649,0,0,23,1,80,245,216,322,0,4,409
373,139,6,7109,0,0,23,1,95,186,139,3792,0,7,409
1120,116,21,7463,1,0,6,1,58,20,116,3561,0,13,409
194,88,15,15591,0,0,23,1,149,126,88,1528,0,20,409
116,42,5,9078,0,0,23,1,203,231,42,792,0,10,409
1134,115,21,7344,1,0,6,1,18,267,115,3820,0,13,411
365,183,15,4994,0,0,23,1,12,27,183,3437,0,4,417
83,31,13,1594,0,0,23,1,116,115,31,316,0,10,411
131,115,15,11687,0,0,23,1,18,267,115,1038,0,10,411
664,63,13,7671,0,0,6,0,152,121,63,3598,0,13,409
1137,30,18,5278,1,0,6,1,91,193,30,3478,0,13,409
537,207,8,17179,0,0,16,1,171,143,207,1500,0,13,409
338,138,7,6755,1,0,23,1,272,32,138,3537,0,8,409
707,280,15,2003,0,0,24,0,68,70,280,363,0,15,409
825,89,13,17598,1,0,6,1,123,282,89,1859,0,13,411
322,30,8,22347,0,0,23,1,91,193,30,2749,0,9,409
903,142,6,4669,1,0,6,1,94,184,142,3390,0,9,409
1087,185,18,24101,0,0,12,1,205,254,185,2669,0,13,417
416,49,15,23736,1,0,6,1,258,110,49,2599,0,14,409
405,81,13,7301,1,0,23,1,180,219,81,3815,0,13,411
742,140,6,14015,0,0,6,1,241,174,140,1365,0,7,409
924,122,8,301,0,0,24,1,191,243,122,128,0,13,409
96,32,5,12603,0,0,23,1,12,27,32,773,0,4,417
436,88,15,8139,0,0,23,1,149,126,88,492,0,2,409
743,47,15,10160,0,0,6,1,47,109,47,811,0,15,411
161,37,13,17136,0,0,23,1,221,221,37,1493,0,13,409
952,248,13,16270,1,0,6,0,206,26,248,1481,0,13,417
628,169,4,2492,0,0,24,1,155,149,169,3015,0,18,409
645,118,15,23651,1,0,6,1,65,72,118,2591,0,15,411
842,71,15,4002,0,0,8,0,221,221,71,2978,0,15,409
765,89,15,14210,1,0,6,0,123,282,89,1395,0,15,411
355,34,4,3112,0,0,16,1,205,254,34,3107,0,4,417
668,171,4,23494,1,0,6,1,116,115,171,2881,0,15,411
458,366,10,21704,1,0,8,0,286,11,366,2551,0,11,417
1174,271,6,8711,0,0,12,0,169,134,271,597,0,13,409
72,135,6,8308,0,0,23,1,198,235,135,533,0,10,400
1065,43,4,20056,1,0,6,0,46,225,43,2262,0,13,411
805,25,4,13340,1,0,6,1,200,229,25,1554,0,8,409
153,25,4,10832,0,0,23,1,200,229,25,890,0,4,409
448,68,13,23653,1,0,6,0,219,82,68,2592,0,13,411
835,137,6,20444,1,0,6,1,52,41,137,2109,0,7,417
313,34,4,21555,0,0,23,1,205,254,34,2543,0,4,417
1162,26,4,2150,1,0,1,0,3,5,26,45,0,21,411
1054,55,13,21980,1,0,6,0,180,219,55,2306,0,13,411
508,111,6,20470,1,0,6,1,82,247,111,2988,0,7,409
1136,55,21,6536,1,0,6,1,180,219,55,3707,0,13,411
232,31,6,19490,1,0,23,1,116,115,31,2184,0,8,411
1084,55,13,2341,0,0,6,1,180,219,55,2923,0,13,411
108,69,13,17261,0,0,23,1,219,82,69,1518,0,13,411
323,63,15,22504,0,0,23,1,152,121,63,2729,0,2,409
562,87,13,17590,0,0,7,1,17,161,87,1857,0,13,409
673,68,13,3802,1,0,6,1,219,82,68,3208,0,13,411
268,234,15,20594,0,0,23,1,263,262,234,2366,0,13,411
792,29,4,15311,0,0,6,1,214,272,29,1209,0,15,409
905,118,13,4669,1,0,6,1,65,72,118,3390,0,13,411
868,143,6,3896,1,0,6,1,160,129,143,2964,0,15,409
726,325,15,8208,0,0,6,1,264,14,325,511,0,15,411
939,97,4,23014,1,0,7,0,38,23,97,2804,0,21,409
1080,189,4,5523,1,0,15,0,239,7,189,3224,0,21,409
1138,26,4,5277,0,0,16,1,3,5,26,3478,0,11,411
628,118,4,20911,0,0,24,1,65,72,118,2433,0,18,417
1010,140,6,17780,1,0,6,0,241,174,140,1850,0,7,409
264,252,13,19278,0,0,16,0,107,197,252,2148,0,13,409
505,147,6,12152,0,0,23,1,119,158,147,1084,0,7,409
1089,253,8,2741,1,0,6,0,154,122,253,3062,0,13,409
362,57,15,4837,0,0,23,0,206,26,57,3414,0,15,411
797,216,15,21440,0,0,12,0,65,72,216,2523,0,15,411
714,249,15,1316,0,0,7,0,268,261,249,282,0,15,400
901,117,13,4121,1,0,6,1,235,180,117,3213,0,13,409
1053,66,13,2341,1,0,6,0,181,222,66,2923,0,13,411
232,295,6,23180,1,0,23,1,182,94,295,2725,0,8,409
192,299,4,14962,0,0,7,1,163,142,299,1154,0,1,409
992,101,8,23303,1,0,6,1,262,213,101,2850,0,13,411
772,28,4,10997,0,0,6,1,214,272,28,925,0,15,417
49,27,4,7359,0,0,23,1,151,120,27,3545,0,2,409
377,29,4,5740,0,0,23,1,214,272,29,3810,0,4,409
227,32,15,17536,0,0,23,1,12,27,32,1851,0,15,417
1020,40,18,15943,1,0,6,1,183,227,40,1590,0,13,417
616,66,15,21232,0,0,6,1,181,222,66,2481,0,15,411
653,88,15,3889,0,0,6,1,149,126,88,2963,0,2,409
1100,25,18,3060,0,0,24,0,200,229,25,2973,0,23,409
793,285,13,17835,0,0,6,0,14,38,285,1893,0,13,411
758,29,9,12299,0,0,6,1,214,272,29,735,0,13,409
949,81,4,8880,0,0,24,1,180,219,81,610,0,4,411
790,115,13,16722,0,0,6,1,18,267,115,1696,0,13,411
573,27,4,17060,0,0,16,1,151,120,27,1727,0,4,409
401,44,8,6455,0,0,23,1,202,230,44,3592,0,15,176
1001,137,8,16724,1,0,6,1,52,41,137,1697,0,9,417
557,131,6,17431,0,0,6,1,162,131,131,1834,0,2,409
486,138,6,14805,1,0,23,1,272,32,138,1127,0,7,409
490,289,15,12575,1,0,23,1,206,26,289,767,0,15,417
1181,285,4,1592,1,0,6,1,14,38,285,315,0,4,411
789,251,15,16346,1,0,6,0,213,218,251,1630,0,15,409
310,88,4,21599,0,0,23,1,149,126,88,2544,0,4,409
943,27,4,1118,0,0,6,1,151,120,27,257,0,13,409
623,26,4,19341,0,0,6,1,3,5,26,2158,0,15,411
743,88,15,10170,0,0,6,1,149,126,88,811,0,15,409
427,139,6,8258,0,0,23,1,95,186,139,516,0,7,409
397,55,13,7237,0,0,5,0,180,219,55,3808,0,13,411
136,152,15,13572,0,0,23,1,263,262,152,1324,0,15,411
569,66,13,19150,0,0,6,1,181,222,66,632,0,13,411
311,395,4,21680,0,0,23,1,208,206,395,2550,0,4,411
137,138,7,20014,0,0,23,1,272,32,138,2255,0,1,409
1037,130,13,19301,1,0,6,1,159,128,130,2151,0,13,409
661,141,4,22590,0,0,24,1,95,186,141,2745,0,4,409
691,117,13,494,1,0,6,1,235,180,117,154,0,13,409
218,138,6,18072,0,0,23,1,272,32,138,1914,0,3,409
705,118,15,6230,1,0,6,1,65,72,118,3655,0,15,411
820,141,6,20407,0,0,6,0,95,186,141,2098,0,2,409
1147,203,8,12014,0,0,24,0,106,192,203,721,0,13,409
1020,142,8,19059,1,0,6,1,94,184,142,2020,0,7,409
19,68,4,5065,0,0,5,1,206,26,68,3442,0,10,417
222,285,15,18243,0,0,23,1,14,38,285,1956,0,15,411
56,100,1,11233,0,0,8,1,157,136,100,1244,0,1,409
713,215,13,386,0,0,6,0,235,180,215,1302,0,13,409
721,55,15,7968,0,0,6,1,180,219,55,379,0,15,411
570,285,13,19366,0,0,6,1,14,38,285,2162,0,13,411
810,36,17,15846,1,0,6,1,45,220,36,1567,0,15,411
904,100,13,4621,1,0,8,1,157,136,100,3379,0,13,409
62,89,6,6875,1,0,23,1,123,282,89,3756,0,10,411
315,216,15,2812,0,0,5,1,70,66,216,3081,0,15,409
620,118,15,21826,0,0,6,1,65,72,118,2561,0,15,411
604,28,9,20097,0,0,25,1,214,272,28,2026,0,13,417
41,116,7,6686,0,0,23,1,58,20,116,3736,0,2,409
406,68,13,6550,1,0,23,1,219,82,68,3714,0,13,411
662,116,13,23004,0,0,6,1,58,20,116,2803,0,2,409
707,248,15,6206,0,0,24,0,206,26,248,3652,0,15,411
983,30,18,10956,1,0,6,1,91,193,30,917,0,4,409
289,139,6,21326,1,0,23,1,95,186,139,2488,0,7,409
1005,325,13,18294,1,0,6,0,264,14,325,1958,0,13,411
212,251,15,18535,0,0,23,1,213,218,251,2008,0,15,409
1029,96,13,18375,1,0,8,1,16,59,96,1970,0,13,411
334,196,8,8252,0,0,16,1,271,40,196,522,0,11,417
479,38,9,8051,0,0,8,1,104,198,38,496,0,1,409
302,28,9,20805,1,0,23,1,214,272,28,2412,0,13,417
1108,44,4,2741,1,0,6,0,202,230,44,3062,0,13,409
1109,36,4,3114,1,0,6,1,45,220,36,3111,0,8,411
516,77,13,13600,1,0,23,1,22,107,77,1328,0,13,409
228,87,6,17818,0,0,8,1,17,161,87,2690,0,21,409
840,62,13,20652,0,0,6,0,1,3,62,2373,0,13,411
115,78,13,16847,0,0,23,1,5,9,78,1484,0,13,411
1027,30,4,17884,1,0,6,0,91,193,30,1743,0,13,409
349,375,9,2413,0,0,23,1,133,270,375,3002,0,15,411
192,32,1,18861,0,0,7,1,12,27,32,2775,0,1,417
871,256,13,5648,1,0,6,0,148,123,256,3233,0,13,409
1099,30,18,3974,1,0,6,1,91,193,30,2973,0,13,409
1032,81,18,18225,0,0,24,1,180,219,81,1955,0,19,411
181,31,8,13556,1,0,23,1,116,115,31,1322,0,15,411
459,115,4,8544,0,0,23,1,18,267,115,568,0,4,411
798,163,10,5785,0,0,24,0,187,268,163,3266,0,11,409
213,34,5,16445,0,0,16,1,205,254,34,2120,0,15,417
