Case ID_Prev0,Activity_Prev0,Resource_Prev0,Complete Timestamp_Prev0,(case) IDofConceptCase_Prev0,(case) Includes_subCases_Prev0,(case) Responsible_actor_Prev0,(case) SUMleges_Prev0,(case) caseProcedure_Prev0,(case) caseStatus_Prev0,(case) case_type_Prev0,(case) landRegisterID_Prev0,(case) last_phase_Prev0,(case) parts_Prev0,(case) requestComplete_Prev0,(case) termName_Prev0,action_code_Prev0,activityNameEN_Prev0,activityNameNL_Prev0,concept:name_Prev0,dateFinished_Prev0,dateStop_Prev0,dueDate_Prev0,lifecycle:transition_Prev0,monitoringResource_Prev0,planned_Prev0,question_Prev0,Case ID,Activity,Resource,Complete Timestamp,(case) IDofConceptCase,(case) Includes_subCases,(case) Responsible_actor,(case) SUMleges,(case) caseProcedure,(case) caseStatus,(case) case_type,(case) landRegisterID,(case) last_phase,(case) parts,(case) requestComplete,(case) termName,action_code,activityNameEN,activityNameNL,concept:name,dateFinished,dateStop,dueDate,lifecycle:transition,monitoringResource,planned,question
205,55,18,7847,154,0,8,613,1,0,0,117,23,65,1,13,55,7,29,55,2036,2,3340,0,20,726,411,205,55,12,12272,154,0,8,613,1,0,0,117,23,65,1,13,55,7,29,55,2036,2,3340,0,11,2519,411
622,25,12,6884,810,0,6,582,2,0,0,140,23,4,1,1,25,200,229,25,500,2,1664,0,14,10561,409,622,26,12,7082,810,0,6,582,2,0,0,140,23,4,1,1,26,3,5,26,500,2,3340,0,2,38879,411
571,29,12,5733,810,0,9,308,2,1,0,140,23,4,1,1,29,214,272,29,3261,2,3340,0,14,38879,409,571,30,12,5733,810,0,9,308,2,1,0,140,23,4,1,1,30,91,193,30,3261,2,1514,0,14,9520,409
9,47,22,15943,8,2,9,438,2,1,0,140,6,4,0,1,47,47,109,47,1590,2,3340,0,2,31578,411,9,55,5,18688,8,2,9,438,2,1,0,140,6,4,0,1,55,180,219,55,1767,2,3340,0,2,31579,411
462,183,12,19290,292,0,6,523,0,0,0,140,23,4,1,1,183,12,27,183,2150,2,3340,0,2,6444,417,462,187,12,19296,292,0,6,523,0,0,0,140,23,4,1,1,187,0,2,187,2150,2,3340,0,2,6448,411
928,142,14,13821,810,0,6,51,2,0,0,140,24,4,1,13,142,94,184,142,1117,2,3340,0,17,21249,409,928,143,14,13822,810,0,6,51,2,0,0,140,24,4,1,13,143,160,129,143,1117,2,3340,0,17,21249,409
412,118,14,18761,810,1,6,258,2,0,0,140,23,82,1,1,118,120,154,118,1775,2,3340,0,4,5370,409,412,119,14,18801,810,1,6,258,2,0,0,140,23,82,1,1,119,195,242,119,1775,2,3340,0,12,5376,409
636,32,16,561,810,0,9,462,2,1,0,140,6,42,1,1,32,125,0,32,1444,2,3340,0,4,38879,411,636,37,16,560,810,0,9,462,2,1,0,140,6,42,1,1,37,221,221,37,1444,2,3340,0,4,11025,409
324,69,13,10687,222,0,6,60,2,0,0,140,23,4,1,1,69,219,82,69,882,2,3340,0,14,2816,417,324,73,13,10691,222,0,6,60,2,0,0,140,23,4,1,1,73,281,55,73,882,2,3340,0,14,2820,409
438,27,16,18144,277,0,9,168,2,1,0,140,23,4,1,1,27,151,120,27,1993,2,3340,0,12,38879,409,438,28,16,18145,277,0,9,168,2,1,0,140,23,4,1,1,28,190,209,28,1993,2,1099,0,4,5931,417
979,118,5,4224,645,0,9,134,2,1,0,140,6,4,1,1,118,65,72,118,3312,2,3340,0,2,26973,417,979,119,5,4230,645,0,9,134,2,1,0,140,6,4,1,1,119,195,242,119,3312,2,3340,0,2,26974,409
1057,68,7,22611,810,0,9,508,2,1,0,140,6,4,1,1,68,219,82,68,2748,2,3340,0,4,25482,411,1057,75,7,22611,810,0,9,508,2,1,0,140,6,4,1,1,75,281,55,75,2748,2,3340,0,4,25483,409
812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,25,12,20411,514,0,9,464,2,1,0,140,6,4,0,1,25,200,229,25,2132,2,2172,0,14,15464,409
1012,139,14,19055,671,0,6,58,2,0,0,140,6,4,1,1,139,95,186,139,2019,2,3340,0,17,24036,409,1012,140,14,19049,671,0,6,58,2,0,0,140,6,4,1,1,140,241,174,140,2019,2,3340,0,17,24037,409
856,146,12,22592,810,0,6,613,2,0,0,140,24,52,1,13,146,46,225,146,2745,2,3340,0,14,38879,411,856,171,12,22567,810,0,6,613,2,0,0,140,24,52,1,13,171,116,115,171,2744,2,2264,0,14,16705,411
1120,30,12,6617,752,0,6,54,2,1,0,129,6,4,0,1,30,91,193,30,3718,2,3340,0,2,27786,409,1120,35,12,6616,752,0,6,54,2,1,0,129,6,4,0,1,35,239,7,35,3718,2,3340,0,2,27788,409
146,89,2,2245,106,2,16,237,2,1,0,16,6,8,1,1,89,123,282,89,70,2,3340,0,2,37519,411,146,96,2,2245,106,2,16,237,2,1,0,16,6,8,1,1,96,16,59,96,70,2,3340,0,2,37520,411
532,73,7,10060,325,0,6,315,2,0,0,103,23,4,0,1,73,281,55,73,690,2,3340,0,4,12223,409,532,77,7,10061,325,0,6,315,2,0,0,103,23,4,0,1,77,22,107,77,690,2,3340,0,4,12223,409
271,28,17,2025,810,0,17,613,2,1,0,140,16,4,1,13,28,190,209,28,27,2,285,0,20,1028,411,271,29,17,2154,810,0,17,613,2,1,0,140,16,4,1,13,29,214,272,29,48,2,274,0,20,1029,409
1103,219,16,832,739,0,9,206,2,1,0,85,6,4,1,1,219,36,156,219,5,2,3340,0,2,28037,409,1103,220,16,7478,739,0,9,206,2,1,0,85,6,4,1,1,220,80,245,220,5,2,3340,0,2,28049,409
1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,16,19686,716,0,9,76,2,1,0,140,8,25,0,13,0,136,79,0,2206,2,3340,0,19,31024,411
774,139,12,9481,483,0,6,613,1,0,0,140,24,65,1,13,139,95,186,139,364,2,3340,0,11,19654,409,774,141,12,2007,483,0,6,613,1,0,0,140,24,65,1,13,141,95,186,141,364,2,3340,0,11,38879,409
1195,27,12,14859,806,2,16,175,2,1,0,139,6,4,0,1,27,151,120,27,1138,2,3340,0,2,30482,409,1195,28,12,14859,806,2,16,175,2,1,0,139,6,4,0,1,28,214,272,28,1138,2,3340,0,2,30482,417
203,58,14,7731,153,0,6,613,2,1,0,140,16,4,1,0,58,204,253,58,3608,2,3340,0,19,654,409,203,59,14,2895,153,0,6,613,2,1,0,140,16,4,1,0,59,104,198,59,3608,2,3340,0,19,38879,409
414,55,11,19998,810,0,6,548,2,1,0,140,23,4,1,1,55,180,219,55,2253,2,3340,0,13,6765,411,414,57,11,19999,810,0,6,548,2,1,0,140,23,4,1,1,57,206,26,57,2253,2,3340,0,13,6766,417
1105,140,16,5216,810,0,6,267,2,0,0,140,6,0,1,1,140,241,174,140,3467,2,3340,0,19,27401,409,1105,141,16,5216,810,0,6,267,2,0,0,140,6,0,1,1,141,95,186,141,3467,2,3340,0,19,27409,409
708,33,5,16895,432,0,6,32,2,0,0,140,23,4,1,1,33,128,1,33,1490,2,3340,0,2,13983,409,708,37,12,11416,432,0,6,32,2,0,0,140,23,4,1,1,37,221,221,37,988,2,3340,0,2,12786,409
2,25,22,13293,2,2,16,392,2,1,0,140,6,4,0,1,25,200,229,25,1318,2,2952,0,25,30793,409,2,26,22,13522,2,2,16,392,2,1,0,140,6,4,0,1,26,3,5,26,1318,2,3340,0,2,30794,411
798,66,7,2881,505,0,9,7,2,1,0,61,6,72,1,1,66,181,222,66,3092,2,3340,0,2,17499,417,798,70,7,2882,505,0,9,7,2,1,0,61,6,72,1,1,70,45,220,70,3092,2,3340,0,2,38879,411
1180,248,5,16376,798,2,16,110,2,1,0,140,6,4,0,1,248,206,26,248,1637,2,3340,0,2,31865,417,1180,249,5,17171,798,2,16,110,2,1,0,140,6,4,0,1,249,268,261,249,1498,2,3340,0,2,31183,400
50,26,16,19376,32,2,16,110,2,1,0,140,6,4,0,1,26,3,5,26,2164,2,3340,0,19,33287,411,50,27,16,19376,32,2,16,110,2,1,0,140,6,4,0,1,27,151,120,27,2164,2,3340,0,19,33288,409
856,30,12,22566,810,0,6,613,2,0,0,140,24,52,1,13,30,91,193,30,2744,2,3340,0,14,38879,409,856,35,12,22567,810,0,6,613,2,0,0,140,24,52,1,13,35,239,7,35,2744,2,3340,0,14,38879,409
160,44,16,2214,119,2,16,200,2,1,0,19,6,52,1,1,44,202,230,44,63,2,3340,0,19,37451,409,160,47,12,1036,119,2,16,200,2,1,0,19,6,52,1,1,47,47,109,47,243,2,3340,0,19,37451,411
715,115,7,18699,436,0,6,332,2,0,0,55,7,4,1,1,115,18,267,115,1770,2,3340,0,4,14674,411,715,116,7,18699,436,0,6,332,2,0,0,55,7,4,1,1,116,58,20,116,1770,2,3340,0,12,38879,409
1149,63,5,9262,774,2,6,130,2,0,0,140,6,4,1,1,63,152,121,63,663,2,3340,0,2,29446,409,1149,68,5,9262,774,2,6,130,2,0,0,140,6,4,1,1,68,219,82,68,663,2,3340,0,2,29446,411
436,115,7,18581,276,1,6,258,2,0,0,140,23,82,1,1,115,18,267,115,2013,2,3340,0,4,6210,411,436,116,7,18581,276,1,6,258,2,0,0,140,23,82,1,1,116,58,20,116,2013,2,3340,0,9,38879,409
1124,142,16,9187,754,0,9,24,2,1,0,140,8,4,0,13,142,94,184,142,652,2,3340,0,19,29385,409,1124,143,16,9187,754,0,9,24,2,1,0,140,8,4,0,13,143,160,129,143,652,2,3340,0,19,29386,409
501,285,12,2386,321,1,11,613,2,0,0,37,15,52,0,13,285,14,38,285,3000,2,3340,0,14,8900,411,501,375,9,23527,321,1,11,613,2,0,0,37,15,52,0,13,375,133,270,375,2897,2,3340,0,14,38879,411
784,96,7,19249,493,0,6,363,2,0,0,140,6,4,1,13,96,16,59,96,2143,2,3340,0,4,15523,411,784,115,7,19251,493,0,6,363,2,0,0,140,6,4,1,13,115,18,267,115,2143,2,3340,0,4,15525,411
1135,28,12,505,810,0,9,292,2,1,0,140,8,4,1,13,28,214,272,28,156,2,3340,0,2,28445,417,1135,29,12,505,810,0,9,292,2,1,0,140,8,4,1,13,29,214,272,29,156,2,3340,0,2,28446,409
344,28,12,10327,810,1,11,613,2,0,0,140,5,52,1,13,28,190,209,28,838,2,645,0,14,2707,417,344,29,12,10328,810,1,11,613,2,0,0,140,5,52,1,13,29,214,272,29,838,2,642,0,14,2708,409
683,131,14,10888,414,0,6,555,2,0,0,140,23,4,1,1,131,162,131,131,901,2,3340,0,12,38879,409,683,136,14,10890,414,0,6,555,2,0,0,140,23,4,1,1,136,26,205,136,901,2,3340,0,17,12598,409
657,171,17,9555,396,0,6,254,2,0,0,37,23,18,1,1,171,116,115,171,417,2,1785,0,4,11587,411,657,185,17,9556,396,0,6,254,2,0,0,37,23,18,1,1,185,205,254,185,417,2,3340,0,4,11588,417
290,224,5,11262,194,0,6,215,2,0,0,140,23,4,1,13,224,88,236,224,962,2,3340,0,20,3006,400,290,225,5,11263,194,0,6,215,2,0,0,140,23,4,1,13,225,29,33,225,962,2,3340,0,20,3007,409
120,277,16,248,87,2,16,613,2,1,0,140,12,4,0,12,277,96,185,277,120,2,3340,0,2,37556,409,120,278,16,248,87,2,16,613,2,1,0,140,12,4,0,12,278,96,185,278,120,2,3340,0,2,37557,409
937,143,14,14137,614,0,6,352,2,0,0,140,6,4,1,1,143,160,129,143,1365,2,3340,0,17,21864,409,937,146,14,14138,614,0,6,352,2,0,0,140,6,4,1,1,146,46,225,146,1365,2,3340,0,17,21864,411
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,25,12,3150,810,2,16,392,2,1,0,140,6,44,0,1,25,200,229,25,3152,2,3170,0,17,35559,409
270,281,7,11117,184,0,6,458,2,0,0,140,23,4,1,13,281,1,3,281,949,2,3340,0,20,2961,411,270,285,7,15512,184,0,6,458,2,0,0,140,23,4,1,13,285,14,38,285,1523,2,3340,0,4,4527,411
746,121,7,17452,457,0,6,98,2,0,0,140,6,4,1,1,121,120,154,121,1841,2,3340,0,4,14502,409,746,131,14,17453,457,0,6,98,2,0,0,140,6,4,1,1,131,162,131,131,1842,2,3340,0,12,38879,409
96,24,16,248,72,2,16,200,2,0,0,8,24,0,0,13,24,158,132,24,120,2,3340,0,19,37644,409,96,25,22,3060,72,2,16,200,2,0,0,8,24,0,0,13,25,200,229,25,2973,2,3137,0,25,34953,409
114,74,2,5014,82,2,16,590,2,1,0,11,6,19,1,1,74,48,106,74,3438,2,3340,0,2,36438,411,114,81,2,5014,82,2,16,590,2,1,0,11,6,19,1,1,81,180,219,81,3438,2,3340,0,2,36439,411
595,124,14,39,365,0,6,395,2,0,0,140,23,4,1,1,124,195,242,124,85,2,3340,0,4,10873,409,595,131,14,65,365,0,6,395,2,0,0,140,23,4,1,1,131,162,131,131,85,2,3340,0,12,38879,409
117,139,16,6621,84,2,16,597,2,1,0,140,6,4,0,1,139,95,186,139,3666,2,3340,0,2,36957,409,117,140,16,6621,84,2,16,597,2,1,0,140,6,4,0,1,140,241,174,140,3666,2,3340,0,2,36958,409
1169,185,16,10317,788,2,9,92,2,1,0,113,6,4,0,1,185,205,254,185,837,2,3340,0,19,29842,417,1169,248,5,12939,788,2,9,92,2,1,0,113,6,4,0,1,248,206,26,248,1104,2,3340,0,2,30439,411
168,115,2,9193,127,2,16,573,2,1,0,140,6,4,1,1,115,18,267,115,653,2,3340,0,2,38711,411,168,116,2,9193,127,2,16,573,2,1,0,140,6,4,1,1,116,58,20,116,653,2,3340,0,2,38712,409
934,43,16,606,611,0,9,180,2,1,0,140,6,4,0,1,43,46,225,43,1217,2,3340,0,4,19350,411,934,44,16,605,611,0,9,180,2,1,0,140,6,4,0,1,44,202,230,44,1217,2,3340,0,4,19349,409
7,55,5,17397,6,2,9,173,2,1,0,112,8,4,1,1,55,180,219,55,1824,2,3340,0,2,32254,417,7,56,5,17397,6,2,9,173,2,1,0,112,8,4,1,1,56,239,7,56,1824,2,3340,0,2,32255,409
165,148,16,8161,124,2,16,434,2,1,0,23,6,7,1,1,148,83,248,148,505,2,3340,0,2,38426,409,165,149,16,8711,124,2,16,434,2,1,0,23,6,7,1,1,149,226,172,149,505,2,3340,0,19,38433,409
975,36,7,15846,642,0,9,59,2,1,0,140,6,25,0,1,36,45,220,36,1567,2,3340,0,2,21100,411,975,47,7,15846,642,0,9,59,2,1,0,140,6,25,0,1,47,47,109,47,1567,2,3340,0,4,22381,411
824,147,14,2197,523,0,9,419,2,1,0,65,6,72,1,1,147,119,158,147,59,2,3340,0,17,19029,409,824,171,16,19794,523,0,9,419,2,1,0,65,6,72,1,1,171,116,115,171,2224,2,2197,0,19,15744,411
1198,254,5,20447,809,2,16,97,2,1,0,95,6,4,0,1,254,189,28,254,2110,2,3340,0,2,31900,417,1198,255,5,20447,809,2,16,97,2,1,0,95,6,4,0,1,255,90,252,255,2110,2,3340,0,2,33082,97
746,44,12,16893,457,0,6,98,2,0,0,140,6,4,1,1,44,202,230,44,1726,2,3340,0,4,13982,206,746,46,7,17064,457,0,6,98,2,0,0,140,6,4,1,1,46,280,56,46,1726,2,3340,0,4,13982,409
947,124,12,12395,810,1,6,613,2,0,0,140,24,52,1,13,124,261,68,124,732,2,3340,0,8,20352,411,947,130,12,12395,810,1,6,613,2,0,0,140,24,52,1,13,130,159,128,130,732,2,3340,0,8,20353,409
750,27,12,15799,461,0,9,98,2,1,0,89,6,4,0,1,27,151,120,27,1556,2,3340,0,12,38879,409,750,28,12,15800,461,0,9,98,2,1,0,89,6,4,0,1,28,214,272,28,1556,2,3340,0,4,14101,417
94,28,22,3060,70,2,6,613,2,0,0,140,1,44,1,7,28,214,272,28,2939,2,3340,0,2,34923,417,94,29,22,3060,70,2,6,613,2,0,0,140,1,44,1,7,29,214,272,29,2939,2,3340,0,2,34925,409
216,32,12,5830,810,0,9,22,2,1,0,140,23,4,1,13,32,12,27,32,3269,2,3340,0,14,181,417,216,34,12,5825,810,0,9,22,2,1,0,140,23,4,1,13,34,205,254,34,3269,2,3340,0,14,178,417
536,138,12,2366,810,1,11,613,2,0,0,140,23,52,1,13,138,272,32,138,2998,2,3340,0,14,8881,409,536,139,12,2747,810,1,11,613,2,0,0,140,23,52,1,13,139,95,186,139,2998,2,3340,0,14,8882,409
34,27,12,17750,20,2,9,603,2,1,0,140,6,4,1,1,27,151,120,27,1876,2,3340,0,2,32348,409,34,28,12,17750,20,2,9,603,2,1,0,140,6,4,1,1,28,214,272,28,1876,2,3340,0,2,32348,417
516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,5,5753,810,0,6,360,2,0,0,140,23,4,0,13,0,136,79,0,3263,2,3340,0,2,9541,411
108,40,12,3114,810,2,1,613,1,1,0,140,4,42,0,7,40,183,227,40,3111,2,3340,0,2,35443,417,108,43,12,3114,810,2,1,613,1,1,0,140,4,42,0,7,43,46,225,43,3111,2,3340,0,2,35445,411
1161,75,5,10459,810,2,9,110,2,1,0,133,6,4,1,1,75,281,55,75,856,2,3340,0,2,29899,409,1161,76,5,10459,810,2,9,110,2,1,0,133,6,4,1,1,76,22,107,76,856,2,3340,0,2,29900,409
760,222,5,17933,470,0,6,397,2,0,0,140,6,4,1,1,222,172,148,222,1910,2,3340,0,12,38879,409,760,226,5,17857,470,0,6,397,2,0,0,140,6,4,1,1,226,29,33,226,2655,2,3340,0,4,15088,409
767,116,12,18362,476,0,6,613,2,0,0,140,24,52,1,13,116,58,20,116,1959,2,3340,0,8,38879,409,767,118,12,18363,476,0,6,613,2,0,0,140,24,52,1,13,118,65,72,118,1959,2,3340,0,8,38879,417
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,25,12,11140,430,0,9,547,2,1,0,140,23,83,1,1,25,200,229,25,954,2,1913,0,14,12688,409
124,88,2,760,91,2,16,563,2,1,0,140,6,79,1,1,88,149,126,88,193,2,3340,0,2,37798,409,124,89,2,7463,91,2,16,563,2,1,0,140,6,79,1,1,89,123,282,89,3561,2,3340,0,2,36638,417
38,138,16,19686,810,2,16,266,2,1,0,140,6,4,1,1,138,272,32,138,2206,2,3340,0,19,33449,409,38,139,16,19758,810,2,16,266,2,1,0,140,6,4,1,1,139,95,186,139,2206,2,3340,0,19,33450,409
80,36,22,23830,810,2,6,73,2,0,0,140,6,4,1,1,36,45,220,36,2615,2,3340,0,2,34157,411,80,40,22,23830,810,2,6,73,2,0,0,140,6,4,1,1,40,183,227,40,2615,2,3340,0,2,34158,417
893,96,7,5234,581,0,6,98,2,0,0,140,6,4,1,1,96,16,59,96,3469,2,3340,0,4,18332,411,893,115,7,5237,581,0,6,98,2,0,0,140,6,4,1,1,115,18,267,115,3469,2,3340,0,4,18335,411
354,89,14,14707,810,0,17,283,2,0,0,140,23,4,1,1,89,123,282,89,1460,2,3340,0,20,4218,411,354,96,14,14708,810,0,17,283,2,0,0,140,23,4,1,1,96,16,59,96,1460,2,3340,0,20,4219,411
720,147,14,20111,440,0,9,138,2,1,0,57,7,4,1,1,147,119,158,147,2034,2,3340,0,17,15285,409,720,171,12,13768,440,0,9,138,2,1,0,57,7,4,1,1,171,116,115,171,1496,2,1973,0,2,13175,411
